Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Customer Login/input_Email_loginusername""), ""firstlast@email.com"")",Chrome 114.0.0.0,,,2023-06-07 20:29:45,2023-06-07 20:29:46,1.145s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Login/input_Password_loginpassword""), ""Pass.123"")",Chrome 114.0.0.0,,,2023-06-07 20:29:46,2023-06-07 20:29:47,0.814s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Login/span_Sign In""))",Chrome 114.0.0.0,,,2023-06-07 20:29:47,2023-06-07 20:29:50,2.972s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-07 20:29:50,2023-06-07 20:29:50,0.693s,PASSED
Start listener action : afterTestCase,Chrome 114.0.0.0,,,2023-06-07 20:29:50,2023-06-07 20:29:50,0.009s,PASSED
,,,,,,,
Test Cases/Old/Log In/SignIn,Chrome 114.0.0.0,,,2023-06-07 20:29:50,2023-06-07 20:30:06,16.022s,PASSED
Start listener action : beforeTestCase,Chrome 114.0.0.0,,,2023-06-07 20:29:50,2023-06-07 20:29:53,2.720s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-07 20:29:53,2023-06-07 20:29:56,2.659s,PASSED
"navigateToUrl(""https://magento.softwaretestingboard.com/"")",Chrome 114.0.0.0,,,2023-06-07 20:29:56,2023-06-07 20:29:58,1.838s,PASSED
"click(findTestObject(""Object Repository/Page_Home Page/a_Sign In""))",Chrome 114.0.0.0,,,2023-06-07 20:29:58,2023-06-07 20:30:01,3.255s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Login/input_Email_loginusername""), ""firstlast@email.com"")",Chrome 114.0.0.0,,,2023-06-07 20:30:01,2023-06-07 20:30:02,1.181s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Login/input_Password_loginpassword""), ""Pass.123"")",Chrome 114.0.0.0,,,2023-06-07 20:30:02,2023-06-07 20:30:03,0.724s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Login/span_Sign In""))",Chrome 114.0.0.0,,,2023-06-07 20:30:03,2023-06-07 20:30:06,2.911s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-07 20:30:06,2023-06-07 20:30:06,0.704s,PASSED
Start listener action : afterTestCase,Chrome 114.0.0.0,,,2023-06-07 20:30:06,2023-06-07 20:30:06,0.008s,PASSED
,,,,,,,
Test Cases/Old/Log In/SignIn,Chrome 114.0.0.0,,,2023-06-07 20:30:06,2023-06-07 20:30:23,16.037s,PASSED
Start listener action : beforeTestCase,Chrome 114.0.0.0,,,2023-06-07 20:30:06,2023-06-07 20:30:09,2.767s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-07 20:30:09,2023-06-07 20:30:12,2.735s,PASSED
"navigateToUrl(""https://magento.softwaretestingboard.com/"")",Chrome 114.0.0.0,,,2023-06-07 20:30:12,2023-06-07 20:30:14,1.809s,PASSED
"click(findTestObject(""Object Repository/Page_Home Page/a_Sign In""))",Chrome 114.0.0.0,,,2023-06-07 20:30:14,2023-06-07 20:30:17,3.446s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Login/input_Email_loginusername""), ""firstlast@email.com"")",Chrome 114.0.0.0,,,2023-06-07 20:30:17,2023-06-07 20:30:18,1.180s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Login/input_Password_loginpassword""), ""Pass.123"")",Chrome 114.0.0.0,,,2023-06-07 20:30:18,2023-06-07 20:30:19,0.832s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Login/span_Sign In""))",Chrome 114.0.0.0,,,2023-06-07 20:30:19,2023-06-07 20:30:22,2.549s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-07 20:30:22,2023-06-07 20:30:23,0.681s,PASSED
Start listener action : afterTestCase,Chrome 114.0.0.0,,,2023-06-07 20:30:23,2023-06-07 20:30:23,0.011s,PASSED
